step,v1_x,v2_x,total_queue,v1_generated,v2_generated,v1_completed,v2_completed
0,2.0,16.0,0,2,1,0,0
1,4.0,17.0,2,5,2,0,0
2,6.0,18.0,5,8,4,1,0
3,8.0,19.0,10,10,5,1,0
4,10.0,20.0,12,13,5,2,0
5,12.0,21.0,0,13,8,2,0
6,14.0,22.0,2,13,9,2,1
7,16.0,23.0,2,15,9,2,2
8,18.0,24.0,1,17,12,3,3
9,20.0,25.0,11,18,13,3,3
10,22.0,26.0,12,19,15,4,4
11,24.0,27.0,20,21,16,4,4
12,26.0,28.0,23,23,19,5,5
13,28.0,29.0,29,24,21,5,5
14,30.0,30.0,33,27,23,5,6
15,32.0,31.0,38,28,26,5,6
16,34.0,32.0,41,28,28,5,7
17,36.0,33.0,42,30,28,5,8
18,38.0,34.0,43,31,30,6,8
19,40.0,35.0,45,32,32,7,8
20,42.0,36.0,0,35,34,8,8
21,44.0,37.0,2,35,37,9,9
22,46.0,38.0,4,38,40,10,9
23,48.0,39.0,9,41,43,10,10
24,50.0,40.0,13,41,45,11,11
25,52.0,41.0,5,41,45,11,12
26,54.0,42.0,4,41,45,12,12
27,56.0,43.0,4,44,46,13,13
28,58.0,44.0,10,44,49,13,13
29,60.0,45.0,13,44,52,14,13
30,62.0,46.0,21,47,53,14,13
31,64.0,47.0,25,48,54,15,13
32,66.0,48.0,28,51,54,15,13
33,68.0,49.0,28,52,57,16,13
34,70.0,50.0,36,52,58,16,13
