episode,step,total_queue,avg_latency
0,0,0,0
0,1,0,1.0
0,2,3,1.6666666666666667
0,3,4,2.0
0,4,3,2.3333333333333335
0,5,0,2.3333333333333335
0,6,0,3.125
0,7,3,3.0
0,8,6,3.5
0,9,6,3.769230769230769
0,10,3,4.1875
0,11,5,4.1875
0,12,5,4.473684210526316
0,13,5,4.75
0,14,4,4.857142857142857
0,15,5,4.857142857142857
0,16,6,5.833333333333333
0,17,7,5.833333333333333
0,18,7,6.16
0,19,8,6.423076923076923
0,20,0,7.0
0,21,0,7.172413793103448
0,22,2,7.709677419354839
0,23,5,7.53125
0,24,8,7.617647058823529
0,25,9,7.621621621621622
0,26,16,7.842105263157895
0,27,19,7.926829268292683
0,28,20,8.047619047619047
0,29,23,8.409090909090908
0,30,23,8.804347826086957
0,31,24,8.914893617021276
0,32,26,9.104166666666666
0,33,27,9.122448979591837
0,34,30,9.42
1,0,0,0
1,1,3,0
1,2,3,2.0
1,3,7,2.5
1,4,8,3.0
1,5,0,3.6
1,6,0,3.6
1,7,3,3.875
1,8,8,4.0
1,9,12,4.0
1,10,11,4.0
1,11,14,4.5
1,12,15,5.111111111111111
1,13,17,5.3
1,14,19,5.380952380952381
1,15,20,5.7272727272727275
1,16,20,6.130434782608695
1,17,23,6.56
1,18,24,6.923076923076923
1,19,26,6.923076923076923
1,20,0,7.428571428571429
1,21,2,7.793103448275862
1,22,3,7.8125
1,23,7,8.151515151515152
1,24,9,7.885714285714286
1,25,3,7.75
1,26,8,7.815789473684211
1,27,10,8.075
1,28,15,8.075
1,29,22,8.024390243902438
1,30,27,8.511627906976743
1,31,28,8.5
1,32,29,8.5
1,33,36,8.533333333333333
1,34,38,9.127659574468085
2,0,0,0
2,1,1,1.0
2,2,3,1.5
2,3,6,2.0
2,4,7,2.0
2,5,0,2.8
2,6,2,2.8333333333333335
2,7,2,3.5555555555555554
2,8,5,3.6363636363636362
2,9,7,3.5833333333333335
2,10,5,4.071428571428571
2,11,8,4.375
2,12,11,4.777777777777778
2,13,12,4.684210526315789
2,14,12,5.285714285714286
2,15,16,5.136363636363637
2,16,18,5.521739130434782
2,17,20,5.666666666666667
2,18,24,5.923076923076923
2,19,23,6.111111111111111
2,20,0,6.172413793103448
2,21,1,6.4
2,22,0,6.580645161290323
2,23,1,6.580645161290323
2,24,2,6.676470588235294
2,25,0,6.676470588235294
2,26,4,6.472222222222222
2,27,14,6.631578947368421
2,28,19,6.538461538461538
2,29,25,6.475
2,30,28,7.069767441860465
2,31,28,7.318181818181818
2,32,29,7.760869565217392
2,33,31,7.760869565217392
2,34,35,7.9375
3,0,0,0
