episode,step,total_queue,avg_latency
0,0,0,0
0,1,0,0
0,2,0,0
0,3,0,3.0
0,4,0,3.0
0,5,0,2.0
0,6,0,2.0
0,7,0,2.25
0,8,0,2.25
0,9,0,2.25
0,10,0,2.6666666666666665
0,11,0,2.6666666666666665
0,12,0,3.0
0,13,0,2.875
0,14,0,3.0
0,15,0,3.0
0,16,1,3.4166666666666665
0,17,0,3.3846153846153846
0,18,0,3.3333333333333335
0,19,0,3.3333333333333335
0,20,0,3.7058823529411766
0,21,0,3.7058823529411766
0,22,0,4.05
0,23,0,3.9523809523809526
0,24,0,4.0
0,25,0,3.869565217391304
0,26,0,4.0
0,27,0,4.0
0,28,0,4.0
0,29,0,4.0
0,30,0,4.0
0,31,0,4.0
0,32,0,4.0
0,33,0,3.96875
0,34,0,4.0606060606060606
1,0,0,0
1,1,0,1.0
1,2,0,1.5
1,3,0,1.3333333333333333
1,4,0,1.3333333333333333
1,5,0,1.3333333333333333
1,6,0,1.8
1,7,0,2.142857142857143
1,8,1,2.142857142857143
1,9,0,2.2222222222222223
1,10,0,2.2222222222222223
1,11,0,2.3636363636363638
1,12,0,2.3076923076923075
1,13,0,2.357142857142857
1,14,0,2.4
1,15,0,2.375
1,16,0,2.3529411764705883
1,17,1,2.3529411764705883
1,18,1,2.3333333333333335
1,19,2,2.3333333333333335
1,20,0,2.4210526315789473
1,21,1,2.4210526315789473
1,22,1,2.619047619047619
1,23,1,2.652173913043478
1,24,0,2.75
1,25,0,2.72
1,26,0,2.888888888888889
1,27,0,2.888888888888889
1,28,0,2.892857142857143
1,29,0,2.892857142857143
1,30,0,2.9310344827586206
1,31,0,2.9
1,32,1,2.9
1,33,0,2.96875
1,34,0,2.96875
2,0,0,0
2,1,0,0
2,2,0,0
2,3,0,0
2,4,0,3.0
2,5,0,3.0
2,6,0,3.25
2,7,0,3.2
2,8,0,3.7142857142857144
2,9,0,3.5
2,10,0,3.2
2,11,0,3.5454545454545454
2,12,0,3.5
2,13,0,3.3846153846153846
2,14,0,3.3846153846153846
2,15,0,3.2857142857142856
2,16,0,3.466666666666667
2,17,0,3.4375
2,18,0,3.4375
2,19,0,3.3529411764705883
2,20,0,3.2777777777777777
2,21,0,3.2777777777777777
2,22,0,3.2777777777777777
2,23,0,3.2777777777777777
2,24,0,3.2777777777777777
2,25,0,3.2
2,26,0,3.2
2,27,0,3.090909090909091
2,28,0,3.090909090909091
2,29,0,3.130434782608696
2,30,0,3.0833333333333335
2,31,0,3.12
2,32,0,3.076923076923077
2,33,0,3.1481481481481484
2,34,0,3.0714285714285716
3,0,0,0
3,1,0,0
3,2,0,2.0
3,3,0,1.5
3,4,1,2.3333333333333335
3,5,0,2.5
3,6,0,2.5
3,7,0,2.8
3,8,1,2.8333333333333335
3,9,0,2.857142857142857
3,10,0,2.75
3,11,0,2.888888888888889
3,12,1,2.8
3,13,1,2.727272727272727
3,14,2,2.727272727272727
3,15,2,2.8333333333333335
3,16,2,2.923076923076923
3,17,1,3.0
3,18,2,3.0
3,19,2,3.125
3,20,0,3.125
3,21,1,3.2941176470588234
3,22,1,3.4210526315789473
3,23,1,3.4210526315789473
3,24,0,3.5652173913043477
3,25,0,3.5
3,26,0,3.5
3,27,0,3.5
3,28,0,3.607142857142857
3,29,0,3.607142857142857
3,30,0,3.607142857142857
3,31,0,3.6333333333333333
3,32,0,3.6333333333333333
3,33,0,3.5806451612903225
3,34,0,3.53125
4,0,0,0
4,1,0,0
4,2,0,0
4,3,0,2.0
4,4,1,2.0
4,5,0,2.0
4,6,1,2.3333333333333335
4,7,0,2.25
4,8,1,2.4
4,9,0,2.5714285714285716
4,10,0,2.625
4,11,1,2.7777777777777777
4,12,0,2.8
4,13,0,2.909090909090909
4,14,0,3.0
4,15,0,3.0
4,16,0,2.923076923076923
4,17,0,2.9285714285714284
4,18,0,2.8666666666666667
4,19,1,2.9375
4,20,0,2.9411764705882355
4,21,0,2.9444444444444446
4,22,0,2.9473684210526314
4,23,0,3.0
4,24,0,3.0
4,25,0,3.0
4,26,0,2.9565217391304346
4,27,0,2.9565217391304346
4,28,0,2.9583333333333335
4,29,0,2.92
4,30,0,2.92
4,31,0,2.925925925925926
4,32,0,2.925925925925926
4,33,0,2.892857142857143
4,34,0,2.892857142857143
5,0,0,0
5,1,0,0
5,2,0,0
5,3,0,0
5,4,0,2.0
5,5,0,2.0
5,6,0,2.0
5,7,0,2.0
5,8,0,3.3333333333333335
5,9,0,3.3333333333333335
5,10,0,3.4
5,11,0,3.1666666666666665
5,12,0,3.375
5,13,0,3.7777777777777777
5,14,0,3.7
5,15,0,4.0
5,16,0,3.8461538461538463
5,17,1,3.8461538461538463
5,18,0,3.6666666666666665
5,19,0,4.0
5,20,0,4.0
5,21,0,4.105263157894737
5,22,0,3.9523809523809526
5,23,0,3.9523809523809526
5,24,0,3.9523809523809526
5,25,0,4.0
5,26,0,4.0
5,27,0,4.0
5,28,0,3.9166666666666665
5,29,0,4.0
5,30,0,4.0
5,31,0,3.925925925925926
5,32,0,4.068965517241379
5,33,0,4.068965517241379
5,34,0,4.068965517241379
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,0
6,4,0,4.0
6,5,0,4.0
6,6,0,3.0
6,7,0,3.6666666666666665
6,8,0,3.6666666666666665
6,9,0,3.75
6,10,0,3.75
6,11,0,3.4
6,12,0,3.5714285714285716
6,13,0,3.375
6,14,0,3.4444444444444446
6,15,0,3.4444444444444446
6,16,0,3.6
6,17,0,3.3636363636363638
6,18,1,3.4166666666666665
6,19,0,3.3076923076923075
6,20,0,3.5714285714285716
6,21,0,3.6
6,22,0,3.6
6,23,0,3.625
6,24,0,3.764705882352941
6,25,0,3.8333333333333335
6,26,0,3.8333333333333335
6,27,0,4.052631578947368
6,28,0,4.052631578947368
6,29,0,4.25
6,30,0,4.363636363636363
6,31,0,4.363636363636363
6,32,0,4.363636363636363
6,33,0,4.791666666666667
6,34,0,4.68
7,0,0,0
7,1,0,0
7,2,0,2.0
7,3,0,2.0
7,4,0,2.0
7,5,0,2.5
7,6,0,2.5
7,7,0,2.5
7,8,0,2.5
7,9,0,2.4444444444444446
7,10,0,2.3
7,11,0,2.3333333333333335
7,12,0,2.230769230769231
7,13,0,2.142857142857143
7,14,0,2.142857142857143
7,15,0,2.2666666666666666
7,16,0,2.2666666666666666
7,17,1,2.2666666666666666
7,18,0,2.25
7,19,1,2.235294117647059
7,20,0,2.3684210526315788
7,21,2,2.4
7,22,1,2.380952380952381
7,23,1,2.391304347826087
7,24,0,2.52
7,25,0,2.5
7,26,0,2.7142857142857144
7,27,0,2.7142857142857144
7,28,0,2.7333333333333334
7,29,0,2.7333333333333334
7,30,0,2.7333333333333334
7,31,0,2.71875
7,32,0,2.71875
7,33,0,2.757575757575758
7,34,0,2.764705882352941
8,0,0,0
8,1,0,0
8,2,0,2.0
8,3,0,2.0
8,4,0,2.25
8,5,0,2.25
8,6,0,2.2
8,7,0,2.2
8,8,0,2.2
8,9,0,2.0
8,10,0,2.2857142857142856
8,11,0,2.5
8,12,0,2.5
8,13,0,2.6666666666666665
8,14,0,2.6
8,15,0,2.909090909090909
8,16,0,2.909090909090909
8,17,0,3.25
8,18,0,3.5
8,19,0,3.5
8,20,0,3.8125
8,21,0,4.176470588235294
8,22,0,4.176470588235294
8,23,0,4.65
8,24,0,4.65
8,25,0,4.857142857142857
8,26,0,5.045454545454546
8,27,0,5.045454545454546
8,28,0,5.045454545454546
8,29,0,5.416666666666667
8,30,0,5.416666666666667
8,31,0,5.28
8,32,0,5.444444444444445
8,33,0,5.482758620689655
