episode,step,total_queue,avg_latency
0,0,0,0
0,1,0,0
0,2,0,0
0,3,0,3.0
0,4,0,2.6666666666666665
0,5,0,2.8
0,6,0,3.3333333333333335
0,7,0,3.142857142857143
0,8,0,3.25
0,9,0,3.6
0,10,0,3.6
0,11,0,3.4545454545454546
0,12,0,4.230769230769231
0,13,0,4.071428571428571
0,14,0,4.071428571428571
0,15,0,4.470588235294118
0,16,0,4.277777777777778
0,17,1,4.277777777777778
0,18,0,4.4
0,19,1,4.809523809523809
0,20,0,4.7727272727272725
0,21,2,4.958333333333333
0,22,2,5.230769230769231
0,23,2,5.071428571428571
0,24,2,5.612903225806452
0,25,2,5.612903225806452
0,26,3,5.545454545454546
0,27,3,6.083333333333333
0,28,3,6.083333333333333
0,29,4,6.081081081081081
0,30,4,6.081081081081081
0,31,3,6.725
0,32,4,6.725
0,33,4,7.095238095238095
0,34,5,7.095238095238095
1,0,0,0
1,1,1,1.0
1,2,2,1.0
1,3,2,2.0
1,4,2,2.0
1,5,0,3.25
1,6,0,3.2
1,7,3,3.4285714285714284
1,8,3,3.25
1,9,3,3.7
1,10,2,3.727272727272727
1,11,5,4.166666666666667
1,12,10,4.533333333333333
1,13,11,4.8125
1,14,13,4.8125
1,15,14,5.333333333333333
1,16,15,5.333333333333333
1,17,14,5.421052631578948
1,18,15,6.0
1,19,16,6.0
1,20,0,6.0
1,21,0,6.08
1,22,1,6.37037037037037
1,23,0,6.25
1,24,2,6.137931034482759
1,25,3,5.935483870967742
1,26,9,6.090909090909091
1,27,12,6.2
1,28,14,6.5
1,29,15,6.552631578947368
1,30,17,6.769230769230769
1,31,17,6.75
1,32,18,6.634146341463414
1,33,18,7.186046511627907
1,34,19,7.186046511627907
2,0,0,0
2,1,0,0
2,2,0,2.0
2,3,2,2.0
2,4,3,3.0
2,5,0,3.0
2,6,0,3.25
2,7,2,3.8333333333333335
2,8,7,3.375
2,9,9,3.3333333333333335
2,10,8,3.3636363636363638
2,11,9,3.6923076923076925
2,12,9,3.7857142857142856
2,13,10,3.8
2,14,11,4.470588235294118
2,15,11,4.470588235294118
2,16,14,5.0
2,17,14,5.0
2,18,15,5.5
2,19,15,5.5
2,20,0,6.0
2,21,0,6.0
2,22,0,6.538461538461538
2,23,0,6.538461538461538
2,24,0,6.481481481481482
2,25,2,6.137931034482759
2,26,2,6.580645161290323
2,27,6,6.5588235294117645
2,28,10,6.5588235294117645
2,29,14,6.714285714285714
2,30,15,6.611111111111111
2,31,14,7.052631578947368
2,32,16,7.052631578947368
2,33,17,7.3
2,34,17,7.3
3,0,0,0
3,1,1,0
3,2,3,2.0
3,3,3,2.6666666666666665
3,4,3,2.6666666666666665
3,5,0,3.0
3,6,2,3.0
3,7,1,3.3333333333333335
3,8,1,3.6
3,9,0,3.727272727272727
3,10,0,3.6923076923076925
3,11,0,3.7142857142857144
3,12,1,3.7333333333333334
3,13,0,3.8823529411764706
3,14,0,3.8823529411764706
3,15,0,3.888888888888889
3,16,0,4.052631578947368
3,17,0,4.0476190476190474
3,18,0,3.9545454545454546
3,19,1,4.043478260869565
3,20,0,4.2
3,21,1,4.2
3,22,0,4.321428571428571
3,23,0,4.482758620689655
3,24,0,4.709677419354839
3,25,0,4.875
3,26,0,5.0588235294117645
3,27,1,4.9714285714285715
3,28,2,4.9714285714285715
3,29,1,5.394736842105263
3,30,1,5.394736842105263
3,31,0,5.435897435897436
3,32,0,5.625
3,33,0,5.928571428571429
3,34,0,5.928571428571429
4,0,0,0
4,1,0,0
4,2,0,2.0
4,3,0,2.0
4,4,0,3.0
4,5,0,2.6666666666666665
4,6,0,2.6666666666666665
4,7,0,2.75
4,8,0,3.0
4,9,0,3.0
4,10,0,3.0
4,11,0,3.4285714285714284
4,12,0,4.25
4,13,0,4.25
4,14,0,4.777777777777778
4,15,2,4.5
4,16,4,5.666666666666667
4,17,5,5.461538461538462
4,18,5,5.461538461538462
4,19,5,6.375
4,20,0,6.375
4,21,1,6.777777777777778
4,22,3,6.526315789473684
4,23,5,6.857142857142857
4,24,5,6.857142857142857
4,25,4,7.541666666666667
4,26,5,7.32
4,27,4,7.888888888888889
4,28,5,8.285714285714286
4,29,4,8.448275862068966
4,30,4,8.448275862068966
4,31,4,9.5
4,32,4,9.5
4,33,3,9.757575757575758
4,34,3,9.757575757575758
5,0,0,0
5,1,0,0
5,2,0,2.0
5,3,0,2.0
5,4,0,2.6666666666666665
5,5,0,3.0
5,6,0,3.0
5,7,0,2.8333333333333335
5,8,0,3.4285714285714284
5,9,0,3.75
5,10,0,4.0
5,11,0,4.090909090909091
5,12,0,4.583333333333333
5,13,0,4.583333333333333
5,14,1,4.384615384615385
5,15,0,4.9375
5,16,0,4.823529411764706
5,17,0,4.823529411764706
5,18,0,5.333333333333333
5,19,1,5.5
5,20,0,5.9523809523809526
5,21,0,5.6521739130434785
5,22,1,6.041666666666667
5,23,1,5.96
5,24,1,6.423076923076923
5,25,0,6.25
5,26,1,6.655172413793103
5,27,0,6.733333333333333
5,28,0,7.09375
5,29,0,7.424242424242424
5,30,0,7.294117647058823
5,31,2,7.742857142857143
5,32,1,7.611111111111111
5,33,1,8.0
5,34,0,8.35897435897436
6,0,0,0
6,1,0,0
6,2,0,0
6,3,0,2.6666666666666665
6,4,0,2.6666666666666665
6,5,0,2.5
6,6,0,3.0
6,7,0,3.0
6,8,0,3.142857142857143
6,9,0,3.625
6,10,0,3.625
6,11,0,4.3
6,12,0,4.3
6,13,0,4.416666666666667
6,14,0,4.416666666666667
6,15,0,4.923076923076923
6,16,0,4.714285714285714
6,17,0,4.933333333333334
6,18,0,5.235294117647059
6,19,0,5.444444444444445
6,20,0,5.315789473684211
6,21,0,5.315789473684211
6,22,0,5.761904761904762
6,23,1,6.090909090909091
6,24,1,6.333333333333333
6,25,1,6.333333333333333
6,26,0,6.076923076923077
6,27,3,6.444444444444445
6,28,2,6.862068965517241
6,29,1,7.032258064516129
6,30,2,7.363636363636363
6,31,2,7.363636363636363
6,32,1,7.6571428571428575
6,33,1,8.11111111111111
6,34,0,8.027027027027026
7,0,0,0
7,1,0,0
7,2,0,0
7,3,0,2.0
7,4,0,2.6666666666666665
7,5,0,2.5
7,6,0,3.2
7,7,0,3.1666666666666665
7,8,0,2.857142857142857
7,9,0,2.857142857142857
7,10,0,3.5555555555555554
7,11,0,3.5555555555555554
7,12,0,3.5555555555555554
7,13,0,4.181818181818182
7,14,0,4.181818181818182
7,15,0,4.769230769230769
7,16,0,4.769230769230769
7,17,0,4.769230769230769
7,18,0,5.266666666666667
7,19,0,5.375
7,20,0,5.117647058823529
7,21,0,5.777777777777778
7,22,0,6.0
7,23,0,6.333333333333333
7,24,0,6.136363636363637
7,25,0,6.391304347826087
7,26,0,6.208333333333333
7,27,1,6.576923076923077
7,28,1,6.576923076923077
7,29,0,6.785714285714286
7,30,0,6.785714285714286
7,31,0,7.233333333333333
7,32,0,7.580645161290323
7,33,0,7.580645161290323
7,34,0,7.909090909090909
8,0,0,0
8,1,0,0
8,2,0,0
8,3,0,2.3333333333333335
8,4,0,2.3333333333333335
8,5,0,2.3333333333333335
8,6,0,3.25
8,7,0,3.6
8,8,0,3.6
8,9,0,4.166666666666667
8,10,0,4.125
8,11,0,4.125
8,12,0,4.555555555555555
8,13,0,5.2
8,14,0,5.2
8,15,0,5.916666666666667
8,16,0,5.916666666666667
8,17,0,6.153846153846154
8,18,0,6.153846153846154
8,19,0,6.642857142857143
8,20,0,6.5625
8,21,0,6.5625
8,22,0,6.9
8,23,0,6.9
8,24,0,6.9
8,25,0,7.333333333333333
8,26,0,7.434782608695652
